,day,time,room
89,We,10:30AM - 11:50AM,"Rm 1034, LSK Bldg (80)"
90,We,10:30AM - 11:50AM,"Rm 1034, LSK Bldg (80)"
91,Mo,10:30AM - 11:50AM,"Rm 1034, LSK Bldg (80)"
92,We,10:30AM - 11:50AM,"Rm 1034, LSK Bldg (80)"
93,We,10:30AM - 11:50AM,"Rm 1034, LSK Bldg (80)"
94,Mo,12:00PM - 01:20PM,"Rm 1034, LSK Bldg (80)"
95,We,12:00PM - 01:20PM,"Rm 1034, LSK Bldg (80)"
96,We,12:00PM - 01:20PM,"Rm 1034, LSK Bldg (80)"
97,Mo,12:00PM - 01:20PM,"Rm 1034, LSK Bldg (80)"
98,We,12:00PM - 01:20PM,"Rm 1034, LSK Bldg (80)"
99,We,12:00PM - 01:20PM,"Rm 1034, LSK Bldg (80)"
100,Tu,03:00PM - 04:20PM,"Rm 1014, LSK Bldg (80)"
